sku,name,category,supplier_id,pack_size,unit_price,growth_plan_pct_year
KBL-001,ВВГнг-LS 3x1.5,Кабель,S5,100,489.13,8
KBL-002,ВВГнг-LS 3x2.5,Кабель,S5,200,584.84,8
KBL-003,ВВГнг-LS 3x4,Кабель,S1,100,776.53,8
KBL-004,ПВС 2x1.5,Кабель,S1,100,189.68,8
KBL-005,ПВС 3x2.5,Кабель,S5,200,428.48,8
KBL-006,NYM 3x1.5,Кабель,S5,100,725.63,8
KBL-007,АВВГ 4x16,Кабель,S1,100,131.07,8
KBL-008,КГ 3x2.5,Кабель,S5,200,842.97,8
KBL-009,СИП-4 4x16,Кабель,S1,100,175.78,8
KBL-010,UTP cat5e,Кабель,S1,100,462.71,8
KBL-011,ШВВП 2x0.75,Кабель,S5,100,225.18,8
KBL-012,ВВГнг 5x6,Кабель,S1,200,214.53,8
LMP-001,Лампа LED A60 10W E27,Освещение,S6,20,311.27,12
LMP-002,Лампа LED A60 15W E27,Освещение,S5,5,14998.88,12
LMP-003,Лампа LED C37 7W E14,Освещение,S6,1,532.54,12
LMP-004,Прожектор LED 50W,Освещение,S2,100,13862.09,12
LMP-005,Прожектор LED 100W,Освещение,S2,1,1375.77,12
LMP-006,Светильник ДВО 36W,Освещение,S6,100,2323.36,12
LMP-007,Светильник ЖКХ 12W,Освещение,S6,20,1228.68,12
LMP-008,Лента LED 12V 4.8W/m,Освещение,S2,1,15238.96,12
LMP-009,Гирлянда уличная 10м,Освещение,S5,5,692.58,12
LMP-010,Датчик движения ДД-008,Освещение,S5,20,3035.35,12
LMP-011,Лампа ДРЛ 250,Освещение,S6,100,9826.03,12
LMP-012,Светильник NLED 24W,Освещение,S6,1,7057.87,12
AUT-001,Автомат ВА47-29 1P 16A,Автоматика,S2,5,37179.06,5
AUT-002,Автомат ВА47-29 1P 25A,Автоматика,S2,5,38560.04,5
AUT-003,Автомат ВА47-29 3P 32A,Автоматика,S2,20,1173.66,5
AUT-004,УЗО ВД1-63 2P 40A 30mA,Автоматика,S2,1,826.96,5
AUT-005,Дифавтомат АД12 16A,Автоматика,S2,10,21937.75,5
AUT-006,Контактор КМИ-11210,Автоматика,S2,10,6953.49,5
AUT-007,Реле напряжения РН-113,Автоматика,S2,10,2409.66,5
AUT-008,Пускатель ПМЛ-1220,Автоматика,S2,1,618.9,5
AUT-009,Таймер ТЭ15,Автоматика,S2,20,30921.96,5
AUT-010,Автомат ВА88-32 100A,Автоматика,S3,10,336.31,5
AUT-011,Рубильник ВР32,Автоматика,S3,5,454.1,5
AUT-012,Шина нулевая 6x9,Автоматика,S3,5,5263.25,5
SCK-001,Розетка с/з Schneider Sedna,Розетки и выключатели,S3,100,4075.23,6
SCK-002,Выключатель 1кл Sedna,Розетки и выключатели,S4,5,26745.39,6
SCK-003,Выключатель 2кл Sedna,Розетки и выключатели,S3,1,8709.18,6
SCK-004,Розетка о/у IP54,Розетки и выключатели,S4,20,14117.84,6
SCK-005,Рамка 1-пост белая,Розетки и выключатели,S3,100,361.85,6
SCK-006,Рамка 2-пост белая,Розетки и выключатели,S4,1,17216.71,6
SCK-007,Розетка Legrand Valena,Розетки и выключатели,S3,10,3962.17,6
SCK-008,Выключатель Legrand Valena,Розетки и выключатели,S3,1,375.71,6
SCK-009,Розетка USB 2x2.1A,Розетки и выключатели,S4,1,12769.11,6
SCK-010,Диммер 400W,Розетки и выключатели,S4,1,1460.87,6
SCK-011,Розетка компьютерная RJ45,Розетки и выключатели,S3,5,481.6,6
SCK-012,Выключатель проходной,Розетки и выключатели,S4,1,1003.45,6
BOX-001,Щит ЩРН-12 металл,Щиты и корпуса,S2,100,736.59,4
BOX-002,Щит ЩРН-24 металл,Щиты и корпуса,S2,1,1420.41,4
BOX-003,Бокс ЩРН-П-12 пластик,Щиты и корпуса,S5,5,616.96,4
BOX-004,Бокс ЩРН-П-36 пластик,Щиты и корпуса,S2,1,8948.87,4
BOX-005,Корпус КМПн 2/4,Щиты и корпуса,S5,100,5516.76,4
BOX-006,Щит учёта ЩУ-1,Щиты и корпуса,S5,1,12167.96,4
BOX-007,Шкаф ЩМП-1,Щиты и корпуса,S5,10,2199.32,4
BOX-008,Шкаф ЩМП-3,Щиты и корпуса,S5,10,36028.37,4
BOX-009,DIN-рейка 1м,Щиты и корпуса,S2,5,4844.88,4
BOX-010,Кабель-канал 40x25,Щиты и корпуса,S2,20,2449.92,4
BOX-011,Кабель-канал 100x60,Щиты и корпуса,S5,1,16884.34,4
BOX-012,Гофра ПВХ 20мм,Щиты и корпуса,S2,100,518.36,4
TLS-001,Клещи обжимные КО-04,Инструмент,S5,5,4286.71,3
TLS-002,Стриппер WS-04,Инструмент,S2,20,2370.91,3
TLS-003,Мультиметр DT-838,Инструмент,S2,1,23166.48,3
TLS-004,Индикатор напряжения,Инструмент,S5,1,12604.23,3
TLS-005,Набор отвёрток VDE,Инструмент,S5,100,5897.43,3
TLS-006,Нож монтажный,Инструмент,S5,1,616.88,3
TLS-007,Кусачки 160мм,Инструмент,S5,1,647.74,3
TLS-008,Изолента ПВХ синяя,Инструмент,S5,20,719.71,3
TLS-009,Изолента ПВХ чёрная,Инструмент,S2,10,2156.24,3
TLS-010,Хомут нейлон 200мм (100шт),Инструмент,S2,20,21343.29,3
TLS-011,Термоусадка 6/3,Инструмент,S5,100,1046.67,3
TLS-012,Перфоратор SDS+,Инструмент,S5,1,1950.47,3
